Conflicts
"J.R.R. Tolkien","AUHIS 410",Drama,Yes,"The Hobbit And How To Make Millions now we have to worry about what happens next"
"Connor Maschke","AUCSC 401",Oral,Yes,"My Practicum and How It Affected My Professional Career"
"Arty Artbird","AUART 316",Art,No,"Painting From Titanic"
"Singing Standley","AUDRA 111",Drama,No,"Don't Go Into The Woods: The Musical"
"O.U.R. Room"
"J.R.R. Tolkien","AUHIS 410",Drama,Yes,"The Hobbit And How To Make Millions now we have to worry about what happens next"
"Connor Maschke","AUCSC 401",Oral,Yes,"My Practicum and How It Affected My Professional Career"
"Arty Artbird","AUART 316",Art,No,"Painting From Titanic"
BREAK,"7:30 - 8:00pm"
"Singing Standley","AUDRA 111",Drama,No,"Don't Go Into The Woods: The Musical"
"Room 1"
"J.R.R. Tolkien","AUHIS 410",Drama,Yes,"The Hobbit And How To Make Millions now we have to worry about what happens next"
"Connor Maschke","AUCSC 401",Oral,Yes,"My Practicum and How It Affected My Professional Career"
"Arty Artbird","AUART 316",Art,No,"Painting From Titanic"
BREAK,"7:30 - 8:00pm"
"Singing Standley","AUDRA 111",Drama,No,"Don't Go Into The Woods: The Musical"
"Room 2"
"J.R.R. Tolkien","AUHIS 410",Drama,Yes,"The Hobbit And How To Make Millions now we have to worry about what happens next"
"Connor Maschke","AUCSC 401",Oral,Yes,"My Practicum and How It Affected My Professional Career"
"Arty Artbird","AUART 316",Art,No,"Painting From Titanic"
BREAK,"7:30 - 8:00pm"
"Singing Standley","AUDRA 111",Drama,No,"Don't Go Into The Woods: The Musical"
Theatre
"Singing Standley","AUDRA 111",Drama,No,"Don't Go Into The Woods: The Musical"
"Posters And Art (Forum)"
"J.R.R. Tolkien","AUHIS 410",Drama,Yes,"The Hobbit And How To Make Millions now we have to worry about what happens next"
"Connor Maschke","AUCSC 401",Oral,Yes,"My Practicum and How It Affected My Professional Career"
"Arty Artbird","AUART 316",Art,No,"Painting From Titanic"
"Singing Standley","AUDRA 111",Drama,No,"Don't Go Into The Woods: The Musical"
